Provisional list of polling places released at beginning of election,,,,,,,,,,,,
State,DivisionNm,DivisionID,PollingPlaceNm,PremisesNm,PremisesAddress1,PremisesAddress2,PremisesAddress3,PremisesSuburb,PremisesStateAb,PremisesPostcode,Latitude,Longitude
NSW,Barton,104,Rockdale West,St Joseph's Parish Centre,13 Parker St,,,ROCKDALE,NSW,2216,-33.9504,151.136
NSW,Barton,104,Sydney (Barton),York Events ,Lvl 2 95-99 York St,,,SYDNEY,NSW,2000,-33.87014175,151.2058079
NSW,Barton,104,Tempe,Tempe High School,119 Unwins Bridge Rd,,,TEMPE,NSW,2044,-33.91956685,151.1609222
NSW,Barton,104,Turrella,Arncliffe West Infants School,7 Loftus St,,,TURRELLA,NSW,2205,-33.931874,151.1452122
NSW,Barton,104,Undercliffe,Undercliffe Public School,143-157 Bayview Ave,,,EARLWOOD,NSW,2206,-33.92416673,151.1385924
NSW,Bennelong,105,Carlingford (Bennelong),Carlingford Public School,5 Rickard St,,,CARLINGFORD,NSW,2118,-33.77938134,151.0545928
NSW,Bennelong,105,Carlingford East,Roselea Public School,549 North Rocks Rd,,,CARLINGFORD,NSW,2118,-33.7644593,151.0519489
NSW,Bennelong,105,Central Sydney (Bennelong),TAFE NSW Ultimo Campus,2-10 Mary Ann St,,,ULTIMO,NSW,2007,-33.88149062,151.1977579
NSW,Bennelong,105,Denistone,Eastwood Baptist Hall,3 First Ave,,,EASTWOOD,NSW,2122,-33.79244,151.08353
NSW,Bennelong,105,Denistone East,Denistone East Public School,47-63 Lovell Rd,,,DENISTONE EAST,NSW,2112,-33.79335535,151.0968852
NSW,Bennelong,105,Denistone South,West Ryde Anglican Church,14 Bellevue Ave,,,WEST RYDE,NSW,2114,-33.8056266,151.08318
NSW,Bennelong,105,Denistone West,8 Lakeside Rd,1 Glen St,,,EASTWOOD,NSW,2122,-33.78973332,151.0800565
NSW,Bennelong,105,East Ryde,Ryde East Public School,12-14 Twin Rd,,,NORTH RYDE,NSW,2113,-33.8063669,151.1268905
NSW,Bennelong,105,East Ryde Central,Ryde Secondary College,5 Malvina St,,,RYDE,NSW,2112,-33.8133913,151.1200494
NSW,Bennelong,105,East Ryde Heights,East Ryde Scout Hall,27A John Miller St,,,RYDE,NSW,2112,-33.8086005,151.126175
NSW,Bennelong,105,Eastwood,Eastwood Public School,212-280 Rowe St,,,EASTWOOD,NSW,2122,-33.7928,151.078
NSW,Bennelong,105,Eastwood Heights,Eastwood Heights Public School,9A Lincoln St,,,EASTWOOD,NSW,2122,-33.7817,151.096
NSW,Bennelong,105,Eastwood West,Corrective Services Academy,66 Terry Rd,,,EASTWOOD,NSW,2122,-33.79183145,151.0673033
NSW,Bennelong,105,Epping,Epping Church of Christ,31 Bridge St,,,EPPING,NSW,2121,-33.77436648,151.0790708
NSW,Bennelong,105,Epping East,Epping Public School,1-18 Norfolk Rd,,,EPPING,NSW,2121,-33.768408,151.0871472
