PollingPlaceNm,GreensVotes,TotalVotes,GreensPercentage,DivisionNm,LegCo,LocalCouncil,PremisesAddress,PremisesNm,Latitude,Longitude
Shorewell Park,34,1079,3.2,Braddon,Murchison,Burnie City,"41-43 Mooreville Rd, SHOREWELL PARK 7320",Hellyer College,-41.06128,145.88153
Sisters Beach,15,224,6.7,Braddon,Murchison,Waratah-Wynyard,"34 Honeysuckle Ave, SISTERS BEACH 7321",Sisters Beach Fire Station,-40.9181,145.565
Sisters Creek,15,132,11.4,Braddon,Murchison,Waratah-Wynyard,"29 Myalla Rd, SISTERS CREEK 7325",Myalla Community Centre,-40.964904,145.57288400000002
Smithton,19,1542,1.2,Braddon,Murchison,Circular Head,"27-43 Grant St, SMITHTON 7330",Smithton Primary School,-40.849445,145.116059
Somerset,35,1591,2.2,Braddon,Murchison,Waratah-Wynyard,"30A Beaufort St, SOMERSET 7322",Somerset Primary School,-41.038182,145.819344
South Riana,8,186,4.3,Braddon,Montgomery,Central Coast,"776 South Riana Rd, SOUTH RIANA 7316",South Riana Hall,-41.2345,145.977
Sprent,10,192,5.2,Braddon,Montgomery,Central Coast,"1245 Castra Rd, SPRENT 7315",Sprent Primary School,-41.2627,146.16
Spreyton,44,1540,2.9,Braddon,Mersey,Devonport City,"1 Mersey Main Rd, SPREYTON 7310",Spreyton Primary School,-41.212070000000004,146.34434
Stanley,22,395,5.6,Braddon,Murchison,Circular Head,"28 Pearse St, STANLEY 7331",Stanley Primary School,-40.7603,145.291
Stowport,6,268,2.2,Braddon,Montgomery,Burnie City,"580 Stowport Rd, STOWPORT 7321",Stowport Public Hall,-41.1124,145.929
Strahan,12,397,3.0,Braddon,Murchison,West Coast,"2 Bay St, STRAHAN 7468",Strahan Primary School,-42.154043,145.320404
Sulphur Creek,23,705,3.3,Braddon,Montgomery,Central Coast,"310 Preservation Dr, SULPHUR CREEK 7316",Sulphur Creek Hall,-41.0935,146.026
Tullah,5,117,4.3,Braddon,Murchison,West Coast,"24 Farrell St, TULLAH 7321",Tullah Community Hall,-41.737567999999996,145.616076
Turners Beach,31,896,3.5,Braddon,Montgomery,Central Coast,"Henry St, TURNERS BEACH 7315",Turners Beach Hall,-41.1589,146.244
Ulverstone Central,44,1095,4.0,Braddon,Montgomery,Central Coast,"16 King Edward St, ULVERSTONE 7315",Ulverstone Senior Citizens Club,-41.15507,146.171931
Ulverstone East,23,948,2.4,Braddon,Montgomery,Central Coast,"18 Crawford St, ULVERSTONE 7315",East Ulverstone Primary School,-41.1546,146.192
Ulverstone South,84,2328,3.6,Braddon,Montgomery,Central Coast,"38 Leven St, ULVERSTONE 7315",Ulverstone High School,-41.162009999999995,146.17091000000002
Waratah,3,142,2.1,Braddon,Murchison,Waratah-Wynyard,"12-14 Smith St, WARATAH 7321",Waratah Municipal Chambers,-41.44422,145.5313
West Ulverstone,49,1616,3.0,Braddon,Montgomery,Central Coast,"34 Maud St, WEST ULVERSTONE 7315",West Ulverstone Primary School,-41.1482,146.16
Wivenhoe,14,525,2.7,Braddon,Montgomery,Burnie City,"Stowport Rd, WIVENHOE 7320",Leighland Christian School (Wivenhoe Campus),-41.06904,145.93608999999998
Wynyard Central,70,2151,3.3,Braddon,Murchison,Waratah-Wynyard,"28 Jackson St, WYNYARD 7325",Wynyard Senior Citizens Club Rooms,-40.9909,145.729
Wynyard West,43,1314,3.3,Braddon,Murchison,Waratah-Wynyard,"30 Church St, WYNYARD 7325",Wynyard High School,-40.9867,145.717
Yolla,8,358,2.2,Braddon,Murchison,Waratah-Wynyard,"School Lane, YOLLA 7325",Yolla District High School,-41.1237,145.719
Zeehan,11,352,3.1,Braddon,Murchison,West Coast,"7 Belstead St, ZEEHAN 7469",Zeehan Primary School,-41.888,145.34
Austins Ferry,68,1519,4.5,Clark,Derwent,Glenorchy City,"195 Main Rd, AUSTINS FERRY 7011",St Virgil's College,-42.774487,147.251105
Battery Point,197,833,23.6,Clark,Hobart,Hobart City,"Marieville Esp, SANDY BAY 7004",10th Hobart Scout Hall,-42.896023,147.333912
