PollingPlaceNm,DivisionNm,GreensVotes_2024,TotalVotes_2024,GreensPercentage_2024,SwingPercentage,PremisesNm_2024,PremisesAddress_2024,Latitude,Longitude,LegCo,LocalCouncil
Chigwell,Clark,90,1218,7.4,-1.7,Chigwell Barn,"10 Bucaan St, CHIGWELL 7011",-42.811194,147.241655,Derwent,Glenorchy City
Claremont,Clark,92,834,11.0,4.0,Claremont College,"61 Claremont Link Rd, CLAREMONT 7011",-42.79416,147.249718,Derwent,Glenorchy City
Collinsvale,Clark,82,389,21.1,2.8,Collinsvale Primary School,"508 Collinsvale Rd, COLLINSVALE 7012",-42.8367,147.198,Elwick,Glenorchy City
Dynnyrne,Clark,286,997,28.7,0.5,Princes Street Primary School,"Randall St, SANDY BAY 7005",-42.8984,147.319,Nelson,Hobart City
Fern Tree,Clark,223,516,43.2,-1.4,Fern Tree Community Centre,"8 Stephenson Pl, FERN TREE 7054",-42.9223,147.262,Hobart,Hobart City
Glenorchy,Clark,287,2682,10.7,1.2,Glenorchy Primary School,"Kensington St, GLENORCHY 7010",-42.832391,147.266343,Elwick,Glenorchy City
Glenorchy Central,Clark,57,413,13.8,-0.1,Cosgrove High School,"286-294 Main Rd, GLENORCHY 7010",-42.836506,147.283187,Elwick,Glenorchy City
Goodwood,Clark,41,395,10.4,-0.1,Goodwood Primary School,"Elmsleigh Rd, MOONAH 7009",-42.831689,147.293744,Elwick,Glenorchy City
Hobart City,Clark,281,699,40.2,6.6,Hobart City Hall,"57-63 Macquarie St, HOBART 7000",-42.880478,147.331554,Hobart,Hobart City
Kingston,Clark,191,669,28.6,8.0,Kingborough Community Hub,"7 Goshawk Way, KINGSTON 7050",-42.976944,147.308333,Nelson,Kingborough
Kingston Beach,Clark,73,251,29.1,4.6,Kingston Beach Hall,"20 Beach Rd, KINGSTON BEACH 7050",-42.981534,147.323507,Nelson,Kingborough
Lenah Valley,Clark,522,2320,22.5,-0.1,Lenah Valley Primary School,"11 Creek Rd, LENAH VALLEY 7008",-42.8612,147.29,Elwick,Hobart City
Lower Sandy Bay,Clark,181,948,19.1,2.0,Sandy Bay Infant School,"568 Sandy Bay Rd, SANDY BAY 7005",-42.909594,147.34935,Nelson,Hobart City
Merton,Clark,190,1638,11.6,1.1,Tolosa Hall,"148 Tolosa St, GLENORCHY 7010",-42.8455,147.265,Elwick,Glenorchy City
Moonah,Clark,220,1129,19.5,3.1,Moonah Community Centre,"7 Gormanston Rd, MOONAH 7009",-42.846325,147.299722,Elwick,Glenorchy City
Moonah East,Clark,266,1532,17.4,1.8,Bowen Road Primary School,"35 Bowen Rd, MOONAH 7009",-42.8474,147.308,Elwick,Glenorchy City
Moonah North,Clark,258,1468,17.6,1.1,Moonah Primary School,"40 Derwent Park Rd, MOONAH 7009",-42.838,147.296,Elwick,Glenorchy City
