PollingPlaceNm,DivisionNm,GreensVotes_2018,TotalVotes_2018,GreensPercentage_2018,PremisesNm_2018,PremisesAddress_2018,Latitude,Longitude,LegCo,LocalCouncil,GreensVotes_2014,TotalVotes_2014,GreensPercentage_2014,PremisesNm_2014,PremisesAddress_2014,SwingPercentage
Deloraine,Lyons,212,1830,11.6,Deloraine High School Hall,"East Barrack St, DELORAINE 7304",-41.52917,146.66111,McIntyre,Meander Valley,300,1855,16.2,Deloraine High School Hall,"East Barrack St, DELORAINE 7304",-4.6
Dodges Ferry,Lyons,215,1917,11.2,Dodges Ferry Community Recreation Centre,"532 Old Forcett Rd, DODGES FERRY 7173",-42.8485,147.624,Prosser,Sorell,372,2006,18.5,Dodges Ferry Community Recreation Centre,"532 Old Forcett Rd, DODGES FERRY 7173",-7.3
Dromedary,Lyons,20,337,5.9,Dromedary (Millvale) Community Hall,"14 Millvale Rd, DROMEDARY 7030",-42.7282,147.179,Derwent,Brighton,27,346,7.8,Dromedary (Millvale) Community Hall,"14 Millvale Rd, DROMEDARY 7030",-1.9
Dunalley,Lyons,46,392,11.7,Dunalley Primary School,"20-32 Bay St, DUNALLEY 7177",-42.8858,147.812114,Prosser,Sorell,81,446,18.2,Dunalley Primary School,"20-32 Bay St, DUNALLEY 7177",-6.5
Elizabeth Town,Lyons,41,379,10.8,Elizabeth Town Fire Station,"5816 Bass Hwy, ELIZABETH TOWN 7304",-41.461865,146.563813,McIntyre,Meander Valley,42,402,10.4,Elizabeth Town Fire Station,"5816 Bass Hwy, ELIZABETH TOWN 7304",0.4
Epping,Lyons,7,155,4.5,Epping Forest Public Hall,"13515 Midland Hwy, EPPING FOREST 7211",-41.758076,147.349062,McIntyre,Northern Midlands,16,204,7.8,Epping Forest Public Hall,"13515 Midland Hwy, EPPING FOREST 7211",-3.3
Evandale,Lyons,75,904,8.3,Evandale Primary School,"5-11 Barclay St, EVANDALE 7212",-41.5672,147.247,McIntyre,Northern Midlands,121,906,13.4,Evandale Primary School,"5-11 Barclay St, EVANDALE 7212",-5.1
Exeter,Bass,102,1108,9.2,Exeter High School Gymnasium,"28 Glen Ard Mohr Rd, EXETER 7275",-41.2996,146.957,Rosevears,West Tamar,192,1055,18.2,Exeter High School Gymnasium,"28 Glen Ard Mohr Rd, EXETER 7275",-9.0
Fingal,Lyons,8,310,2.6,Fingal Activity Centre (former Council Chambers),"29 Talbot St, FINGAL 7214",-41.638074,147.970144,McIntyre,Break O'Day,16,287,5.6,Fingal Activity Centre (former Council Chambers),"29 Talbot St, FINGAL 7214",-3.0
Forcett,Lyons,27,496,5.4,Forcett Public Hall,"699 Arthur Hwy, FORCETT 7173",-42.806209,147.631863,Prosser,Sorell,64,611,10.5,Forcett Public Hall,"699 Arthur Hwy, FORCETT 7173",-5.1
Frankford,Lyons,4,101,4.0,Frankford Memorial Hall,"Frankford Rd, FRANKFORD 7275",-41.342597,146.774898,Rosevears,West Tamar,20,127,15.7,Frankford Memorial Hall,"Frankford Rd, FRANKFORD 7275",-11.7
Gagebrook,Lyons,25,847,3.0,Gagebrook Primary School,"4 Tottenham Rd, GAGEBROOK 7030",-42.7488,147.276,Derwent,Brighton,36,860,4.2,Gagebrook Primary School,"4 Tottenham Rd, GAGEBROOK 7030",-1.2
Glengarry,Bass,32,332,9.6,Glengarry Fire Station,"Frankford Rd, GLENGARRY 7275",-41.337856,146.872457,Rosevears,West Tamar,27,283,9.5,Glengarry Fire Station,"Frankford Rd, GLENGARRY 7275",0.1
Glenora,Lyons,14,315,4.4,Glenora District High School,"620 Gordon River Rd, GLENORA 7140",-42.6969,146.889,Derwent,Derwent Valley,13,180,7.2,Glenora District High School,"620 Gordon River Rd, GLENORA 7140",-2.8
Granton,Lyons,22,546,4.0,Granton Memorial Hall,"1 Lyell Hwy, GRANTON 7030",-42.7498,147.224,Derwent,Derwent Valley,39,496,7.9,Granton Memorial Hall,"1 Lyell Hwy, GRANTON 7030",-3.9
Gravelly Beach,Bass,80,509,15.7,Gravelly Beach Main Hall,"Edinburgh Park, off Gravelly Beach Rd, GRAVELLY BEACH 7276",-41.28322,146.969954,Rosevears,West Tamar,169,526,32.1,Gravelly Beach Main Hall,"Edinburgh Park, off Gravelly Beach Rd, GRAVELLY BEACH 7276",-16.4
Hagley,Lyons,17,271,6.3,Hagley Farm Primary School,"2508 Meander Valley Rd, HAGLEY 7292",-41.526508,146.903129,McIntyre,Meander Valley,29,324,9.0,Hagley Farm Primary School,"2508 Meander Valley Rd, HAGLEY 7292",-2.7
Kelso,Bass,23,263,8.7,Kelso Community Centre,"Foreshore Rd, KELSO 7270",-41.1037,146.794,Rosevears,West Tamar,52,238,21.8,Kelso Community Centre,"Foreshore Rd, KELSO 7270",-13.1
Kempton,Lyons,5,306,1.6,Kempton Memorial Hall,"89 Main St, KEMPTON 7030",-42.531821,147.200647,Prosser,Southern Midlands,12,296,4.1,Kempton Memorial Hall,"89 Main St, KEMPTON 7030",-2.5
Lachlan,Lyons,39,395,9.9,Lachlan Community Hall,"511 Lachlan Rd, LACHLAN 7140",-42.8304,147.043,Derwent,Derwent Valley,68,399,17.0,Lachlan Community Hall,"511 Lachlan Rd, LACHLAN 7140",-7.1
