PollingPlaceNm,DivisionNm,GreensVotes_2019,TotalVotes_2019,GreensPercentage_2019,SwingPercentage,PremisesNm_2019,PremisesAddress_2019,Latitude,Longitude,LegCo,LocalCouncil
Bellerive,Franklin,257,1596,16.1,3.3,St Mark's Church,"cnr Clarence St & Scott St, BELLERIVE 7018",-42.875156,147.371378,Pembroke,Clarence City
Blackmans Bay,Franklin,424,1844,23.0,7.4,Blackmans Bay Primary School,"177 Roslyn Ave, BLACKMANS BAY 7052",-42.996938,147.321219,Nelson,Kingborough
Blackmans Bay South,Franklin,195,913,21.4,,Blackmans Bay Hall,"24 Ocean Esp, BLACKMANS BAY 7052",-43.0025,147.32399999999998,Huon,Kingborough
Cambridge,Franklin,210,1510,13.9,3.4,Cambridge Primary School,"976 Cambridge Rd, CAMBRIDGE 7170",-42.8362,147.442,Rumney,Clarence City
Clarence,Franklin,306,1804,17.0,3.5,Clarence High School,"25 Wentworth St, BELLERIVE 7018",-42.8784,147.389,Pembroke,Clarence City
Clarendon Vale,Franklin,38,824,4.6,0.8,Clarendon Vale Primary School,"25 Mockridge Rd, CLARENDON VALE 7019",-42.8873,147.445,Rumney,Clarence City
Cradoc,Franklin,116,603,19.2,3.2,Cradoc Park,"8243 Channel Hwy, CRADOC 7109",-43.1064,147.034,Huon,Huon Valley
Cygnet,Franklin,534,1813,29.5,4.3,Cygnet Town Hall,"14 Mary St, CYGNET 7112",-43.161953,147.07773400000005,Huon,Huon Valley
Dover,Franklin,76,683,11.1,3.3,Dover District High School,"6940 Huon Hwy, DOVER 7117",-43.3105,147.013,Huon,Huon Valley
Franklin,Franklin,152,659,23.1,3.0,Franklin Primary School,"10 New Rd, FRANKLIN 7113",-43.085654,147.01201799999996,Huon,Huon Valley
Geeveston,Franklin,128,1113,11.5,1.4,Geeveston Primary School,"63 Arve Rd, GEEVESTON 7116",-43.1625,146.922,Huon,Huon Valley
